"Category","air temp","ground temp", "albedo"
95,26.349206349206327,27.69999999999999,0.25
96,26.666666666666686,28.100000000000023,0.25
97,26.82539682539681,28.19999999999999,0.25
98,27.142857142857167,28.399999999999977,0.25
99,27.619047619047592,28,0.25
100,27.142857142857167,27.899999999999977,0.25
101,27.619047619047592,27.899999999999977,0.25
102,27.46031746031747,27.80000000000001,0.25
103,26.984126984126988,28,0.25
104,26.82539682539681,28,0.25
105,26.82539682539681,28.19999999999999,0.25
106,26.507936507936506,27.899999999999977,0.25
107,26.82539682539681,27.69999999999999,0.25
108,26.82539682539681,28,0.25
109,26.666666666666686,28,0.25
110,26.031746031746025,28.19999999999999,0.25
111,25.714285714285722,28.19999999999999,0.25
112,25.23809523809524,28.30000000000001,0.25
113,25.07936507936506,28.399999999999977,0.25
114,25.555555555555543,28.5,0.25
115,25.555555555555543,28.30000000000001,0.25
116,25.555555555555543,28,0.25
117,26.190476190476204,27.80000000000001,0.25
118,26.82539682539681,28,0.25
119,27.142857142857167,28.30000000000001,0.25
120,28.253968253968253,28.30000000000001,0.25
121,28.888888888888914,28,0.25
122,29.047619047619037,28.100000000000023,0.25
123,29.206349206349216,27.899999999999977,0.25
124,29.206349206349216,28.30000000000001,0.25
125,29.682539682539698,28.100000000000023,0.25
126,30,27.69999999999999,0.25
127,29.84126984126982,28,0.25
128,29.84126984126982,28.19999999999999,0.25
129,30.317460317460302,28,0.25
130,30,27.899999999999977,0.25
131,30.317460317460302,28.100000000000023,0.25
132,30.47619047619048,28.19999999999999,0.25
133,30.317460317460302,28.399999999999977,0.25
134,30.634920634920604,28.5,0.25
135,30.317460317460302,28.5,0.25
136,30,28.5,0.25
137,30,28.5,0.25
138,29.365079365079396,28.399999999999977,0.25
139,29.682539682539698,28.69999999999999,0.25
140,30,28.5,0.25
141,29.682539682539698,28.399999999999977,0.25
142,29.682539682539698,28.600000000000023,0.25
143,29.84126984126982,28.30000000000001,0.25
144,30,28.30000000000001,0.25
145,29.682539682539698,28.600000000000023,0.25
146,29.365079365079396,28.399999999999977,0.25
147,28.888888888888914,28.399999999999977,0.25
148,28.253968253968253,28.30000000000001,0.25
149,27.93650793650795,27.899999999999977,0.25
150,28.730158730158735,28,0.25
151,28.888888888888914,28.69999999999999,0.25
152,29.206349206349216,29.100000000000023,0.25
153,29.365079365079396,29,0.25
154,29.84126984126982,29.30000000000001,0.25
155,29.52380952380952,29.100000000000023,0.25
156,30.317460317460302,29.30000000000001,0.25
157,30.317460317460302,29.100000000000023,0.25
158,30.952380952380963,28.80000000000001,0.25
159,31.587301587301567,29,0.25
160,31.111111111111086,29.100000000000023,0.25
161,31.428571428571445,29.19999999999999,0.25
162,31.587301587301567,29.5,0.25
163,31.587301587301567,29.69999999999999,0.25
164,30.793650793650784,29.69999999999999,0.25
