"Category","air temp","ground temp"
185,29.206349206349216,29.399999999999977
186,28.888888888888914,29.19999999999999
187,29.52380952380952,29.100000000000023
188,29.365079365079396,29
189,29.52380952380952,28.80000000000001
190,29.52380952380952,28.5
191,29.682539682539698,28.19999999999999
192,29.365079365079396,28.399999999999977
193,28.571428571428555,28.80000000000001
194,28.730158730158735,28.5
195,29.365079365079396,28.5
196,29.52380952380952,28.899999999999977
197,29.206349206349216,29.19999999999999
198,29.047619047619037,29.600000000000023
199,29.52380952380952,29.5
200,29.84126984126982,29.399999999999977
201,29.682539682539698,29.899999999999977
202,29.365079365079396,29.899999999999977
203,29.206349206349216,29.80000000000001
204,29.206349206349216,29.899999999999977
205,29.047619047619037,29.899999999999977
206,28.888888888888914,29.600000000000023
207,28.730158730158735,29.30000000000001
